station,full_fare,senior_citizen_disabled,_7_day_ada_farecard_access_system_unlimited,_30_day_ada_farecard_access_system_unlimited,joint_rail_road_ticket,_7_day_unlimited,_30_day_unlimited,_14_day_reduced_fare_media_unlimited,_1_day_unlimited,_14_day_unlimited,_7_day_express_bus_pass,transit_check_metrocard,lib_special_senior,rail_road_unlimited_no_trade,transit_check_metrocard_annual_metrocard,mail_and_ride_ezpay_express,mail_and_ride_unlimited,path_2_trip,airtrain_full_fare,airtrain_30_day,airtrain_10_trip,airtrain_monthly
WHITEHALL STREET,90076.0,6689.0,535.0,914.0,48.0,17751.0,15223.0,0.0,0.0,0.0,237.0,512.0,98.0,35.0,1965.0,1288.0,646.0,0.0,670.0,0.0,0.0,0.0
CYPRESS HILLS,7819.0,422.0,7.0,70.0,0.0,2663.0,1231.0,0.0,0.0,0.0,1.0,30.0,0.0,2.0,142.0,50.0,53.0,0.0,44.0,0.0,0.0,0.0
75TH STREET & ELDERTS LANE,23285.0,1172.0,33.0,57.0,0.0,6809.0,3287.0,0.0,0.0,0.0,9.0,90.0,28.0,3.0,548.0,114.0,107.0,0.0,104.0,0.0,0.0,0.0
85TH STREET & FOREST PKWAY,24854.0,1224.0,157.0,147.0,0.0,7022.0,4127.0,0.0,0.0,0.0,4.0,67.0,37.0,2.0,265.0,94.0,185.0,0.0,122.0,0.0,0.0,0.0
WOODHAVEN BOULEVARD,27546.0,1454.0,86.0,113.0,2.0,8248.0,5009.0,0.0,0.0,0.0,18.0,116.0,31.0,8.0,380.0,209.0,103.0,0.0,192.0,0.0,0.0,0.0
104TH STREET,16705.0,813.0,16.0,48.0,0.0,5039.0,2826.0,0.0,0.0,0.0,7.0,24.0,9.0,0.0,212.0,115.0,32.0,0.0,128.0,0.0,0.0,0.0
111TH STREET,12909.0,445.0,29.0,23.0,0.0,3075.0,1638.0,0.0,0.0,0.0,12.0,29.0,5.0,0.0,177.0,78.0,62.0,0.0,54.0,0.0,0.0,0.0
121ST STREET,12734.0,760.0,16.0,149.0,1.0,2725.0,2220.0,0.0,0.0,0.0,2.0,55.0,25.0,1.0,214.0,70.0,59.0,0.0,100.0,0.0,0.0,0.0
42ND STREET & 8TH AVENUE,386529.0,19451.0,998.0,1760.0,90.0,62678.0,59832.0,0.0,0.0,0.0,653.0,2045.0,373.0,72.0,6449.0,4311.0,2691.0,0.0,3182.0,0.0,0.0,0.0
34TH STREET & 8TH AVENUE,255877.0,14253.0,811.0,1784.0,782.0,40045.0,44952.0,0.0,0.0,0.0,446.0,1443.0,249.0,1872.0,5545.0,5076.0,2156.0,0.0,2774.0,0.0,0.0,0.0
