from_date,to_date,station,stat_time_tot
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,WHITEHALL STREET,25175.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,CYPRESS HILLS,2435.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,75TH STREET & ELDERTS LANE,6794.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,85TH STREET & FOREST PKWAY,7296.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,WOODHAVEN BOULEVARD,8394.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,104TH STREET,5031.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,111TH STREET,3656.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,121ST STREET,3642.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,42ND STREET & 8TH AVENUE,106785.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,34TH STREET & 8TH AVENUE,72555.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,FULTON STREET,54760.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,FIFTH AVENUE,17887.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,LEXINGTON AVENUE,35721.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,ROOSEVELT AVE/JACKSON HTS,103298.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,179TH STREET & HILLSIDE AVE,32011.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,47-50 STREETS/ROCKEFELLER,52221.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,42ND STREET & 6TH AVENUE,34678.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,34TH STREET & 6TH AVENUE,124481.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,SUTPHIN BOULEVARD,34526.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,JAMAICA CENTER-PARSONS BLVD,55928.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,WALL STREET,28538.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,FULTON & WILLIAM STREETS,21796.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,PARK PLACE,33491.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,CHAMBERS STREET,13199.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,34TH STREET & 7TH AVENUE,26716.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,42ND STREET/TIMES SQUARE,73503.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,125TH STREET & BROADWAY,9376.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,168TH STREET & BROADWAY,36330.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,DYCKMAN STREET,12672.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,207TH STREET,9769.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,215TH STREET,2289.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,225TH STREET,8993.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,231ST STREET,15280.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,BOWLING GREEN & BATTERY PL,16406.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,BOWLING GREEN & BROADWAY,4202.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,BROOKLYN BRIDGE,17278.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,42ND STREET & GRAND CENTRAL,85010.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,42ND STREET & 3RD AVENUE,10715.0
2020-07-25T00:00:00.000,2020-07-31T00:00:00.000,51ST STREET & LEXINGTON AVE,12283.0
