station,total_percentage
WHITEHALL STREET,0.003886242640776465
CYPRESS HILLS,0.0003563628235274182
75TH STREET & ELDERTS LANE,0.0010134760816545676
85TH STREET & FOREST PKWAY,0.0010891328132172338
WOODHAVEN BOULEVARD,0.0012372050634909528
104TH STREET,0.0007384847597176608
111TH STREET,0.0005270098369957096
121ST STREET,0.0005439266935457984
42ND STREET & 8TH AVENUE,0.015669103328984326
34TH STREET & 8TH AVENUE,0.010749027515309826
FULTON STREET,0.007795941427189608
FIFTH AVENUE,0.0026172225142946726
LEXINGTON AVENUE,0.005305183077491229
ROOSEVELT AVE/JACKSON HTS,0.014718262264102609
179TH STREET & HILLSIDE AVE,0.004764127984805194
47-50 STREETS/ROCKEFELLER,0.007715422876349521
42ND STREET & 6TH AVENUE,0.00510169746013159
34TH STREET & 6TH AVENUE,0.018741488795397273
SUTPHIN BOULEVARD,0.0053305725781622034
JAMAICA CENTER-PARSONS BLVD,0.00810954298642907
WALL STREET,0.004027804033655276
FULTON & WILLIAM STREETS,0.0034748929255383376
PARK PLACE,0.004944896680511858
CHAMBERS STREET,0.0019256500458503677
34TH STREET & 7TH AVENUE,0.003867790472875612
42ND STREET/TIMES SQUARE,0.011185425550918757
125TH STREET & BROADWAY,0.001395910766453299
168TH STREET & BROADWAY,0.005358862111384621
DYCKMAN STREET,0.001894801660376676
207TH STREET,0.00143642592709847
215TH STREET,0.0003228418590357295
225TH STREET,0.001251705226248172
231ST STREET,0.0021748253917410884
BOWLING GREEN & BATTERY PL,0.002181194090677592
BOWLING GREEN & BROADWAY,0.0005491865565067504
BROOKLYN BRIDGE,0.0027338777452610838
42ND STREET & GRAND CENTRAL,0.01264789490759686
42ND STREET & 3RD AVENUE,0.0016463371067779759
51ST STREET & LEXINGTON AVE,0.0017219085432656
59TH STREET & LEXINGTON AVE,0.008651792210165701
WOODLAWN ROAD,0.001595785558969475
149TH STREET & 3RD AVENUE,0.004545175527171187
FIFTH AVENUE & 42ND STREET,0.00189562617943542
MAIN STREET,0.012982479055296769
NEVINS STREET,0.0017152839591039685
BARCLAYS CENTER,0.00753129924102452
BERGEN STREET,0.0005205842746758439
GRAND ARMY PLAZA,0.001053877515533015
EASTERN PARKWAY,0.0005854938267831596
NOSTRAND AVENUE,0.0007485780102643525
UTICA AVENUE,0.0061654123409861684
SUTTER AVENUE,0.0017262585920927655
SARATOGA AVENUE,0.001439126937808148
ROCKAWAY AVENUE,0.0011183037288817568
JUNIUS STREET,0.0004849593649997744
PENNSYLVANIA AVENUE,0.001093738747269527
VAN SICLEN AVENUE,0.000707522647477246
NEW LOTS AVENUE,0.0013777429154692542
ST GEORGE TERMINAL,0.0012580454934929951
34TH STREET - HUDSON YARDS,0.0024932887702579713
FIFTH AVENUE & 60TH STREET,0.0026421286762070726
57TH STREET & 7TH AVENUE,0.004309334644678772
49TH STREET & 7TH AVENUE,0.0020798066781437825
28TH STREET & BROADWAY,0.0015590802450095344
23RD STREET & 5TH AVENUE,0.0024726757937893755
59TH STREET/COLUMBUS CIRCLE,0.00973177001866171
8TH STREET & BROADWAY,0.0018215616226068797
PRINCE STREET & BROADWAY,0.0016515401063555662
CITY HALL,0.0007134080076551761
CORTLANDT STREET,0.001988086040781452
JAY ST-METROTECH,0.0051612334225112294
39TH AVENUE & 31ST STREET,0.0005377570164510602
36TH AVENUE & 31ST STREET,0.0013642947253042256
BROADWAY & 31ST STREET,0.0023501067709533535
30TH AVENUE & 31ST STREET,0.002898525671784722
ASTORIA BLVD & 31ST STREET,0.001791054417433358
DITMARS BLVD & 31ST STREET,0.0031755640755226477
82ND STREET-JACKSON HEIGHTS,0.003976228944946265
JUNCTION BLVD-ROOSEVELT AVE,0.007887434611018491
CHURCH AVENUE,0.0040949312577136954
DEKALB AVENUE,0.003807145674520419
METROPOLITAN AVENUE,0.0009238309577849369
145TH STREET,0.004706667535918254
125TH STREET,0.0059087878918750725
BROADWAY-EAST NEW YORK,0.0021189571175882736
167TH ST-GRAND CONCOURSE,0.002456043254156095
14TH STREET & 7TH AVENUE,0.0035076462343546443
CASTLE HILL AVENUE,0.0016009885585470654
WESTCHESTER SQUARE,0.0012974802498542947
BOROUGH HALL - COURT STREET,0.004338647718801699
CHURCH AVENUE & NOSTRAND AV,0.002271407848380839
FLATBUSH AVE & NOSTRAND AV,0.003775757086904792
23RD STREET & 8TH AVENUE,0.003274222045655099
FORDHAM RD/GRAND CONCOURSE,0.002744994536708285
SEVENTH AVENUE & WEST 53RD,0.0015912080566088628
PARSONS BLVD & HILLSIDE AV,0.0017970535043780114
169TH STREET & HILLSIDE AVE,0.0019025635122055405
50TH STREET & 7TH AVENUE,0.0019078802385498542
242ND STREET & BROADWAY,0.001921897062548499
CANAL STREET,0.001964914212061582
