"from_date","to_date","remote_station_id","station","full_fare","senior_citizen_disabled","_7_day_ada_farecard_access_system_unlimited","_30_day_ada_farecard_access_system_unlimited","joint_rail_road_ticket","_7_day_unlimited","_30_day_unlimited","_14_day_reduced_fare_media_unlimited","_1_day_unlimited","_14_day_unlimited","_7_day_express_bus_pass","transit_check_metrocard","lib_special_senior","rail_road_unlimited_no_trade","transit_check_metrocard_annual_metrocard","mail_and_ride_ezpay_express","mail_and_ride_unlimited","path_2_trip","airtrain_full_fare","airtrain_30_day","airtrain_10_trip","airtrain_monthly"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R001","WHITEHALL STREET","16684","1198","112","165","10","3191","2842",,,,"35","86","22","2","368","224","124","0","112","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R003","CYPRESS HILLS","1541","84","4","11","0","534","199",,,,"0","6","0","2","26","5","10","0","13","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R004","75TH STREET & ELDERTS LANE","4401","221","3","19","0","1341","623",,,,"0","18","7","1","107","16","20","0","17","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R005","85TH STREET & FOREST PKWAY","4770","231","22","29","0","1341","764",,,,"0","11","4","0","53","15","35","0","21","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R006","WOODHAVEN BOULEVARD","5317","253","18","22","1","1632","954",,,,"6","26","2","1","79","37","20","0","26","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R007","104TH STREET","3230","144","2","12","0","991","560",,,,"4","2","1","0","29","30","10","0","16","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R008","111TH STREET","2532","103","9","3","0","606","328",,,,"0","3","0","0","33","15","13","0","11","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R009","121ST STREET","2453","139","8","23","0","518","412",,,,"0","11","1","0","40","9","8","0","20","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R010","42ND STREET & 8TH AVENUE","17665","1051","67","140","1","4860","3364",,,,"87","69","8","9","407","200","194","0","220","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R011","42ND STREET & 8TH AVENUE","57657","2660","120","192","6","7225","7916",,,,"31","312","71","7","916","629","324","0","377","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R012","34TH STREET & 8TH AVENUE","38893","2038","131","228","115","5486","6111",,,,"49","186","37","262","813","721","324","0","434","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R013","34TH STREET & 8TH AVENUE","10435","630","35","113","16","2194","2460",,,,"46","60","2","91","240","209","94","0","102","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R014","FULTON STREET","38042","1482","86","142","21","6705","6059",,,,"77","208","20","36","852","392","313","0","325","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R015","FIFTH AVENUE","12106","605","15","43","20","1862","2143",,,,"51","182","3","44","309","256","147","0","101","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R016","LEXINGTON AVENUE","3102","193","24","27","1","876","749",,,,"16","35","4","6","66","55","29","0","29","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R017","LEXINGTON AVENUE","19503","1279","72","144","22","3670","4336",,,,"46","164","15","49","480","357","201","0","171","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R018","ROOSEVELT AVE/JACKSON HTS","61849","4128","277","502","2","17753","15325",,,,"21","193","77","15","1713","412","441","0","590","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R019","179TH STREET & HILLSIDE AVE","20182","1432","83","186","0","4697","3991",,,,"11","250","15","0","741","188","144","0","91","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R020","47-50 STREETS/ROCKEFELLER","31722","2817","88","307","31","6903","7680",,,,"81","410","23","25","1012","615","304","0","203","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R021","42ND STREET & 6TH AVENUE","21079","1235","78","163","5","5279","5038",,,,"62","326","17","2","652","339","244","0","159","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R022","34TH STREET & 6TH AVENUE","47553","3070","227","371","45","10587","10113",,,,"119","404","54","67","1294","675","528","0","351","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R023","34TH STREET & 6TH AVENUE","31466","1883","101","168","16","5884","7032",,,,"52","247","21","26","654","742","501","0","230","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R024","SUTPHIN BOULEVARD","22750","1152","82","150","28","5048","3582",,,,"9","76","26","62","597","144","143","0","677","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R025","JAMAICA CENTER-PARSONS BLVD","35862","2025","215","281","2","9977","5602",,,,"25","121","35","4","1225","136","177","0","241","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R027","WALL STREET","9702","488","14","45","37","1987","2008",,,,"18","52","7","106","297","189","132","0","88","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R028","FULTON & WILLIAM STREETS","12944","1007","39","120","13","3063","3355",,,,"16","119","5","23","494","231","189","0","178","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R029","PARK PLACE","21695","1319","70","190","14","4046","4591",,,,"180","114","13","75","504","316","182","0","182","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R030","CHAMBERS STREET","7755","667","39","75","15","2141","1849",,,,"56","36","5","22","218","176","86","0","59","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R031","34TH STREET & 7TH AVENUE","16957","1361","88","101","18","3492","3344",,,,"18","89","17","125","598","270","139","0","99","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R032","42ND STREET/TIMES SQUARE","20332","1244","79","214","6","4754","5863",,,,"37","334","6","5","549","316","222","0","143","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R033","42ND STREET/TIMES SQUARE","25681","1487","159","197","9","5916","4222",,,,"170","162","25","20","655","270","228","0","198","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R034","125TH STREET & BROADWAY","5627","475","35","58","3","1658","1163",,,,"2","25","2","0","151","45","61","0","71","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R035","168TH STREET & BROADWAY","21430","1496","80","143","14","5030","5891",,,,"23","128","6","25","1260","339","253","0","212","0","0","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R036","DYCKMAN STREET","7050","738","51","89","0","2716","1613",,,,"2","19","12","0","273","37","41","0","30","0","1","0"
"2020-07-25T00:00:00.000","2020-07-31T00:00:00.000","R037","207TH STREET","5620","463","35","46","0","2265","1043",,,,"6","7","4","0","198","20","33","0","29","0","0","0"
