date,Direct Normal [W/m^2],Global Horiz [W/m^2],Diffuse Horiz (calc) [W/m^2],Avg Wind Direction @ 30ft [deg from N],Dry Bulb Temp [deg C],Global UVA [W/m^2],Global UVE [W/m^2],Global UVE [Index],Avg Wind Speed @ 30ft [m/s],Peak Wind Speed @ 30ft [m/s]
2020-259-0,-1.66978,-3.65336,0,29.33,29.27,0,0,0.007,0.98,1.274
2020-259-1,-1.66978,-3.70956,0,21.68,29.28,0,0,0.007,0.506,0.882
2020-259-2,-1.55846,-3.65336,0,10.79,29.27,0,0,0.007,0.565,0.784
2020-259-3,-0.987953,-3.65336,0,17.76,29.27,0,0,0.007,0.577,1.078
2020-259-4,-0.834891,-3.65337,0,21.86,29.33,0,0,0.007,1.003,1.372
2020-259-5,-0.834892,-3.68147,0,23.33,29.45,0,0,0.007,0.941,1.176
2020-259-6,-0.827937,-3.65338,0,14.2,29.54,0,0,0.007,0.866,1.176
2020-259-7,-0.396576,-3.65339,0,11.92,29.58,0,0,0.007,0.975,1.274
2020-259-8,-0.090447,-3.42388,0,10.01,29.58,0,0,0.007,1.153,1.568
2020-259-9,0.306130,-3.09134,0,7.481,29.64,0,0,0.007,1.442,1.862
2020-259-10,0.834901,-3.09135,0,7.963,29.61,0,0,0.007,1.122,1.568
2020-259-11,0.834902,-3.03046,0,9.92,29.5,0,0,0.007,1.111,1.47
2020-259-12,0.834903,-3.00705,0,7.375,29.39,0,0,0.007,1.277,1.764
2020-259-13,0.834905,-3.09136,0,9.26,29.27,0,0,0.007,1.534,1.764
2020-259-14,1.00884,-3.02110,0,10.41,29.23,0,0,0.007,1.343,1.568
2020-259-15,0.834901,-2.60422,0,11.37,29.27,0,0,0.007,1.387,1.764
2020-259-16,0.834899,-2.59953,0,12.76,29.31,0,0,0.007,1.109,1.47
2020-259-17,0.834899,-3.07729,0,14.56,29.28,0,0,0.007,0.673,1.176
2020-259-18,0.834899,-3.09134,0,9.84,29.25,0,0,0.007,0.426,0.882
2020-259-19,0.709664,-2.88525,0,14.85,29.14,0,0,0.007,0.33,0.588
2020-259-20,0.076532,-3.09134,0,18.53,29.03,0,0,0.007,0.103,0.196
2020-259-21,0.02783,-3.40048,0,16.96,28.94,0,0,0.007,0.297,0.49
2020-259-22,0,-3.46606,0,19.23,28.88,0,0,0.007,0.098,0.098
2020-259-23,0,-3.09135,0,16.6,28.82,0,0,0.007,0.098,0.098
2020-259-24,0,-3.09136,0,13.04,28.78,0,0,0.007,0.188,0.588
2020-259-25,0,-2.92274,0,7.565,28.76,0,0,0.007,0.217,0.588
2020-259-26,-0.396580,-2.81970,0,10.53,28.69,0,0,0.007,0.103,0.196
2020-259-27,-0.834907,-2.81502,0,8.85,28.68,0,0,0.007,1.032,1.764
2020-259-28,-0.535732,-3.08669,0,7.686,28.79,0,0,0.007,1.336,1.568
2020-259-29,0,-3.09137,0,5.653,28.8,0,0,0.007,1.315,1.568
2020-259-30,0,-3.09138,0,8.14,28.79,0,0,0.007,1.341,1.862
2020-259-31,0,-3.09138,0,9.02,28.85,0,0,0.007,1.414,1.96
2020-259-32,0.528777,-3.09138,0,7.705,28.81,0,0,0.007,1.795,2.45
2020-259-33,0.834911,-3.09138,0,8.44,28.79,0,0,0.007,1.72,2.156
2020-259-34,0.834912,-2.68857,0,8.68,28.72,0,0,0.007,1.803,2.156
2020-259-35,0.834912,-2.52932,0,6.343,28.73,0,0,0.007,1.757,2.156
2020-259-36,0.834913,-2.52932,0,5.095,28.79,0,0,0.007,1.294,1.862
2020-259-37,0.834913,-2.52932,0,6.093,28.72,0,0,0.007,1.089,1.568
2020-259-38,0.834914,-2.52932,0,39.05,28.69,0,0,0.007,0.596,0.882
2020-259-39,0.834914,-2.52932,0,6.615,28.64,0,0,0.007,0.795,1.078
2020-259-40,0.619228,-2.52932,0,6.922,28.6,0,0,0.007,1.001,1.274
2020-259-41,0.417457,-2.52932,0,5.434,28.6,0,0,0.007,0.711,0.882
2020-259-42,0.354839,-2.52933,0,6.59,28.58,0,0,0.007,0.663,1.078
2020-259-43,0.041746,-2.52933,0,2.061,28.58,0,0,0.007,0.777,1.078
2020-259-44,0,-2.53401,0,4.088,28.57,0,0,0.007,0.624,0.98
2020-259-45,0,-2.94150,0,29.75,28.55,0,0,0.007,0.457,0.686
2020-259-46,0,-3.09137,0,2.141,28.52,0,0,0.007,0.374,0.686
2020-259-47,0,-3.09137,0,1.035,28.51,0,0,0.007,0.372,0.588
2020-259-48,0,-3.09136,0,1.866,28.51,0,0,0.007,0.539,0.686
2020-259-49,0,-3.09136,0,2.602,28.52,0,0,0.007,0.608,0.784
2020-259-50,0,-3.09136,0,0.963,28.53,0,0,0.007,0.56,0.784
2020-259-51,0,-3.09136,0,1.967,28.52,0,0,0.007,0.376,0.588
2020-259-52,0,-2.72133,0,2.109,28.51,0,0,0.007,0.238,0.588
2020-259-53,-0.090448,-2.52930,0,4.24,28.51,0,0,0.007,0.188,0.49
2020-259-54,-0.368750,-2.52930,0,4.784,28.47,0,0,0.007,0.098,0.098
2020-259-55,-0.006958,-2.91806,0,6.398,28.41,0,0,0.007,0.098,0.098
2020-259-56,0,-3.09137,0,19.33,28.39,0,0,0.007,0.109,0.294
2020-259-57,-0.146109,-3.09137,0,24.92,28.39,0,0,0.007,0.487,0.686
2020-259-58,-0.834909,-3.09138,0,23.83,28.41,0,0,0.007,0.599,0.686
2020-259-59,-0.834910,-3.09138,0,20.67,28.46,0,0,0.007,0.681,0.882
2020-259-100,-0.834910,-3.00238,0,16.34,28.51,0,0,0.007,0.603,0.784
2020-259-101,-0.834911,-3.08670,0,14.75,28.51,0,0,0.007,0.544,0.784
2020-259-102,-0.848827,-3.08202,0,25.55,28.44,0,0,0.007,0.402,0.686
2020-259-103,-1.17583,-3.09139,0,28.25,28.37,0,0,0.007,0.635,0.784
2020-259-104,-0.890573,-3.09139,0,27.26,28.4,0,0,0.007,0.712,0.882
2020-259-105,-0.869701,-2.83377,0,26.22,28.43,0,0,0.007,0.593,0.882
2020-259-106,-1.25237,-2.52932,0,20.59,28.36,0,0,0.007,0.203,0.49
2020-259-107,-1.02277,-2.74947,0,14.29,28.32,0,0,0.007,0.219,0.588
2020-259-108,-0.876660,-3.09139,0,26.64,28.26,0,0,0.007,0.434,0.784
2020-259-109,-1.56546,-3.09138,0,29.48,28.07,0,0,0.007,0.97,1.176
2020-259-110,-1.57241,-3.09137,0,27.5,28.03,0,0,0.007,0.639,1.078
2020-259-111,-0.883609,-3.09136,0,23.5,28.11,0,0,0.007,0.26,0.49
2020-259-112,-0.834905,-3.09136,0,23.24,28.14,0,0,0.007,0.098,0.098
2020-259-113,-0.841858,-3.09134,0,23.13,28.2,0,0,0.007,0.098,0.098
2020-259-114,-1.42628,-2.85246,0,21.71,28.18,0,0,0.007,0.343,0.588
2020-259-115,-1.66979,-3.09132,0,17.65,28.13,0,0,0.007,0.394,0.784
2020-259-116,-1.66979,-3.09132,0,14.51,28.24,0,0,0.007,0.76,0.882
2020-259-117,-1.66979,-3.05853,0,14.17,28.45,0,0,0.007,0.559,0.784
