DateTimeUTC,LinearMicrostrain_ch0,LinearMicrostrain_ch1,LinearMicrostrain_ch2,LinearMicrostrain_ch3
2016-01-01 00:00:00,-30.8396,-30.6112,-35.4143,-38.3377
2016-01-01 00:10:00,-30.8399,-30.6113,-35.4145,-38.3382
2016-01-01 00:20:00,-30.8400,-30.6112,-35.4145,-38.3382
2016-01-01 00:30:00,-30.8401,-30.6111,-35.4145,-38.3383
2016-01-01 00:40:00,-30.8400,-30.6111,-35.4144,-38.3382
2016-01-01 00:50:00,-30.8400,-30.6111,-35.4143,-38.3381
2016-01-01 01:00:00,-30.8398,-30.6111,-35.4144,-38.3379
2016-01-01 01:10:00,-30.8396,-30.6112,-35.4143,-38.3377
2016-01-01 01:20:00,-30.8394,-30.6111,-35.4143,-38.3374
2016-01-01 01:30:00,-30.8393,-30.6115,-35.4144,-38.3373
2016-01-01 01:40:00,-30.8392,-30.6119,-35.4145,-38.3370
2016-01-01 01:50:00,-30.8392,-30.6122,-35.4146,-38.3367
2016-01-01 02:00:00,-30.8390,-30.6124,-35.4146,-38.3365
2016-01-01 02:10:00,-30.8391,-30.6128,-35.4145,-38.3361
2016-01-01 02:20:00,-30.8393,-30.6131,-35.4146,-38.3358
2016-01-01 02:30:00,-30.8395,-30.6138,-35.4147,-38.3358
2016-01-01 02:40:00,-30.8393,-30.6141,-35.4145,-38.3354
2016-01-01 02:50:00,-30.8392,-30.6145,-35.4145,-38.3350
2016-01-01 03:00:00,-30.8394,-30.6150,-35.4146,-38.3347
2016-01-01 03:10:00,-30.8396,-30.6155,-35.4147,-38.3344
2016-01-01 03:20:00,-30.8397,-30.6157,-35.4146,-38.3340
2016-01-01 03:30:00,-30.8399,-30.6159,-35.4146,-38.3337
2016-01-01 03:40:00,-30.8400,-30.6163,-35.4146,-38.3334
2016-01-01 03:50:00,-30.8401,-30.6167,-35.4146,-38.3329
2016-01-01 04:00:00,-30.8401,-30.6171,-35.4145,-38.3326
2016-01-01 04:10:00,-30.8401,-30.6176,-35.4145,-38.3322
2016-01-01 04:20:00,-30.8401,-30.6182,-35.4144,-38.3317
