Datetime,Lat.,Lon.,Total_SO2,OMTO3_O3,DateforKepler
20120203T044508797Z,30.81,120.8,1.34,246.56099999999998,2012/02/03 04:45:08.797
20120203T044516285Z,31.24,120.66,1.6969999999999998,247.801,2012/02/03 04:45:16.285
20120203T044501308Z,30.51,121.5,0.243,243.453,2012/02/03 04:45:01.308
20120203T044508797Z,30.95,121.37,-0.366,244.435,2012/02/03 04:45:08.797
20120203T044516285Z,31.38,121.23,0.317,246.93400000000003,2012/02/03 04:45:16.285
20120203T044523773Z,31.82,121.09,0.17600000000000002,249.959,2012/02/03 04:45:23.773
20120203T044501308Z,30.64,122.04,-0.653,243.88,2012/02/03 04:45:01.308
20120203T044508797Z,31.08,121.91,0.129,245.382,2012/02/03 04:45:08.797
20120203T044516285Z,31.51,121.77,0.16899999999999998,247.899,2012/02/03 04:45:16.285
20120203T044523773Z,31.95,121.64,0.318,250.783,2012/02/03 04:45:23.773
20120203T044508797Z,31.19,122.43,0.517,246.077,2012/02/03 04:45:08.797
20120203T044516285Z,31.63,122.3,-0.085,249.112,2012/02/03 04:45:16.285
20120204T042626784Z,30.47,120.98,-0.838,262.37,2012/02/04 04:26:26.784
20120204T042634272Z,30.9,120.82,-0.064,263.902,2012/02/04 04:26:34.272
20120204T042641760Z,31.33,120.65,-0.188,270.442,2012/02/04 04:26:41.760
20120204T042626784Z,30.82,121.82,0.018000000000000002,266.165,2012/02/04 04:26:26.784
20120204T042634272Z,31.25,121.66,1.225,271.441,2012/02/04 04:26:34.272
20120204T042641760Z,31.68,121.51,0.805,276.71299999999997,2012/02/04 04:26:41.760
20120206T052910365Z,30.52,120.99,0.121,260.036,2012/02/06 05:29:10.365
20120206T052917853Z,30.96,120.9,-0.322,262.593,2012/02/06 05:29:17.853
20120206T052925341Z,31.4,120.82,1.091,264.861,2012/02/06 05:29:25.341
20120206T052932829Z,31.84,120.73,0.924,267.901,2012/02/06 05:29:32.829
20120206T052910365Z,30.45,121.92,0.301,266.515,2012/02/06 05:29:10.365
20120206T052917853Z,30.89,121.84,0.26899999999999996,265.815,2012/02/06 05:29:17.853
20120206T052925341Z,31.32,121.75,-0.512,266.503,2012/02/06 05:29:25.341
20120206T052932829Z,31.76,121.67,0.21,267.94599999999997,2012/02/06 05:29:32.829
20120211T053537414Z,30.6,121.32,0.5670000000000001,263.785,2012/02/11 05:35:37.414
20120211T053544902Z,31.03,121.24,0.34299999999999997,266.35900000000004,2012/02/11 05:35:44.902
20120211T053552391Z,31.47,121.16,0.377,268.933,2012/02/11 05:35:52.391
20120211T053559879Z,31.91,121.08,0.083,271.508,2012/02/11 05:35:59.879
20120211T053552391Z,31.3,122.38,0.057,264.406,2012/02/11 05:35:52.391
20120215T042017870Z,30.47,121.41,-0.08199999999999999,274.099,2012/02/15 04:20:17.870
20120215T042025358Z,30.89,121.25,0.258,275.159,2012/02/15 04:20:25.358
20120215T042032846Z,31.32,121.08,-0.256,274.038,2012/02/15 04:20:32.846
20120215T042040334Z,31.74,120.91,0.313,272.118,2012/02/15 04:20:40.334
20120215T042017870Z,30.9,122.36,0.235,278.279,2012/02/15 04:20:17.870
20120215T042025358Z,31.32,122.19,0.09699999999999999,278.046,2012/02/15 04:20:25.358
20120215T042032846Z,31.75,122.03,0.19699999999999998,277.439,2012/02/15 04:20:32.846
20120216T054200459Z,30.47,120.91,-0.254,254.765,2012/02/16 05:42:00.459
20120216T054207947Z,30.91,120.84,-0.033,256.27,2012/02/16 05:42:07.947
20120216T054215435Z,31.35,120.77,0.5429999999999999,257.932,2012/02/16 05:42:15.435
20120216T054222924Z,31.78,120.69,0.037000000000000005,259.591,2012/02/16 05:42:22.924
20120218T050354476Z,30.43,120.98,0.126,263.814,2012/02/18 05:03:54.476
20120218T050401964Z,30.87,120.86,0.075,264.35200000000003,2012/02/18 05:04:01.964
20120218T050409453Z,31.31,120.75,0.815,265.525,2012/02/18 05:04:09.453
20120218T050416941Z,31.74,120.63,0.457,266.427,2012/02/18 05:04:16.941
20120218T050354476Z,30.49,121.49,0.10099999999999999,262.79900000000004,2012/02/18 05:03:54.476
20120218T050401964Z,30.93,121.37,-0.561,263.21,2012/02/18 05:04:01.964
20120218T050409453Z,31.37,121.26,0.22699999999999998,264.305,2012/02/18 05:04:09.453
20120218T050416941Z,31.81,121.14,-0.19899999999999998,265.577,2012/02/18 05:04:16.941
20120218T050354476Z,30.55,122.01,0.435,261.926,2012/02/18 05:03:54.476
20120218T050401964Z,30.98,121.9,-0.024,262.34,2012/02/18 05:04:01.964
20120218T050409453Z,31.42,121.78,0.08199999999999999,264.11,2012/02/18 05:04:09.453
