time (UTC),sea_floor_depth_below_sea_surface (m)
2018-02-04T03:00:00Z,3747.145
2018-02-04T03:30:00Z,3747.073
2018-02-04T04:00:00Z,3747.019
2018-02-04T04:30:00Z,3746.991
2018-02-04T05:00:00Z,3746.988
2018-02-04T05:30:00Z,3747.011
2018-02-04T06:00:00Z,3747.058
2018-02-04T06:30:00Z,3747.133
2018-02-04T07:00:00Z,3747.217
2018-02-04T07:30:00Z,3747.309
2018-02-04T08:00:00Z,3747.411
2018-02-04T08:30:00Z,3747.512
2018-02-04T09:00:00Z,3747.606
2018-02-04T09:30:00Z,3747.693
2018-02-04T10:00:00Z,3747.763
2018-02-04T10:30:00Z,3747.805
2018-02-04T11:00:00Z,3747.825
2018-02-04T11:30:00Z,3747.818
2018-02-04T12:00:00Z,3747.783
2018-02-04T12:30:00Z,3747.728
2018-02-04T13:00:00Z,3747.651
2018-02-04T13:30:00Z,3747.557
2018-02-04T14:00:00Z,3747.451
2018-02-04T14:30:00Z,3747.341
2018-02-04T15:00:00Z,3747.233
2018-02-04T15:30:00Z,3747.136
2018-02-04T16:00:00Z,3747.057
2018-02-04T16:30:00Z,3746.995
2018-02-04T17:00:00Z,3746.958
2018-02-04T17:30:00Z,3746.946
2018-02-04T18:00:00Z,3746.961
2018-02-04T18:30:00Z,3747.007
2018-02-04T19:00:00Z,3747.072
2018-02-04T19:30:00Z,3747.156
2018-02-04T20:00:00Z,3747.257
2018-02-04T20:30:00Z,3747.361
2018-02-04T21:00:00Z,3747.467
2018-02-04T21:30:00Z,3747.566
2018-02-04T22:00:00Z,3747.656
2018-02-04T22:30:00Z,3747.728
2018-02-04T23:00:00Z,3747.774
2018-02-04T23:30:00Z,3747.796
2018-02-05T00:00:00Z,3747.788
2018-02-05T00:30:00Z,3747.759
2018-02-05T01:00:00Z,3747.704
2018-02-05T01:30:00Z,3747.635
2018-02-05T02:00:00Z,3747.547
2018-02-05T02:30:00Z,3747.451
2018-02-05T03:00:00Z,3747.353
2018-02-05T03:30:00Z,3747.252
2018-02-05T04:00:00Z,3747.162
2018-02-05T04:30:00Z,3747.089
2018-02-05T05:00:00Z,3747.037
2018-02-05T05:30:00Z,3747.011
2018-02-05T06:00:00Z,3747.004
2018-02-05T06:30:00Z,3747.025
2018-02-05T07:00:00Z,3747.068
2018-02-05T07:30:00Z,3747.129
2018-02-05T08:00:00Z,3747.204
2018-02-05T08:30:00Z,3747.292
2018-02-05T09:00:00Z,3747.385
2018-02-05T09:30:00Z,3747.48
2018-02-05T10:00:00Z,3747.57
2018-02-05T10:30:00Z,3747.652
2018-02-05T11:00:00Z,3747.715
2018-02-05T11:30:00Z,3747.752
2018-02-05T12:00:00Z,3747.769
2018-02-05T12:30:00Z,3747.756
2018-02-05T13:00:00Z,3747.715
2018-02-05T13:30:00Z,3747.653
2018-02-05T14:00:00Z,3747.572
2018-02-05T14:30:00Z,3747.479
2018-02-05T15:00:00Z,3747.377
2018-02-05T15:30:00Z,3747.276
2018-02-05T16:00:00Z,3747.173
2018-02-05T16:30:00Z,3747.081
2018-02-05T17:00:00Z,3747.008
2018-02-05T17:30:00Z,3746.956
2018-02-05T18:00:00Z,3746.926
2018-02-05T18:30:00Z,3746.928
2018-02-05T19:00:00Z,3746.953
2018-02-05T19:30:00Z,3747.001
2018-02-05T20:00:00Z,3747.07
2018-02-05T20:30:00Z,3747.158
2018-02-05T21:00:00Z,3747.254
2018-02-05T21:30:00Z,3747.363
2018-02-05T22:00:00Z,3747.467
2018-02-05T22:30:00Z,3747.563
2018-02-05T23:00:00Z,3747.653
2018-02-05T23:30:00Z,3747.719
2018-02-06T00:00:00Z,3747.766
2018-02-06T00:30:00Z,3747.786
2018-02-06T01:00:00Z,3747.78
2018-02-06T01:30:00Z,3747.752
2018-02-06T02:00:00Z,3747.698
2018-02-06T02:30:00Z,3747.624
2018-02-06T03:00:00Z,3747.538
2018-02-06T03:30:00Z,3747.448
2018-02-06T04:00:00Z,3747.348
2018-02-06T04:30:00Z,3747.253
2018-02-06T05:00:00Z,3747.17
2018-02-06T05:30:00Z,3747.102
2018-02-06T06:00:00Z,3747.055
2018-02-06T06:30:00Z,3747.032
2018-02-06T07:00:00Z,3747.034
2018-02-06T07:30:00Z,3747.054
2018-02-06T08:00:00Z,3747.099
2018-02-06T08:30:00Z,3747.162
2018-02-06T09:00:00Z,3747.238
2018-02-06T09:30:00Z,3747.32
2018-02-06T10:00:00Z,3747.411
2018-02-06T10:30:00Z,3747.501
2018-02-06T11:00:00Z,3747.585
2018-02-06T11:30:00Z,3747.658
2018-02-06T12:00:00Z,3747.712
2018-02-06T12:30:00Z,3747.742
2018-02-06T13:00:00Z,3747.748
2018-02-06T13:30:00Z,3747.73
2018-02-06T14:00:00Z,3747.685
2018-02-06T14:30:00Z,3747.624
2018-02-06T15:00:00Z,3747.543
2018-02-06T15:30:00Z,3747.446
2018-02-06T16:00:00Z,3747.345
2018-02-06T16:30:00Z,3747.246
2018-02-06T17:00:00Z,3747.147
2018-02-06T17:30:00Z,3747.065
2018-02-06T18:00:00Z,3747.001
2018-02-06T18:30:00Z,3746.96
2018-02-06T19:00:00Z,3746.942
2018-02-06T19:30:00Z,3746.948
2018-02-06T20:00:00Z,3746.98
2018-02-06T20:30:00Z,3747.034
2018-02-06T21:00:00Z,3747.114
2018-02-06T21:30:00Z,3747.204
2018-02-06T22:00:00Z,3747.305
2018-02-06T22:30:00Z,3747.413
2018-02-06T23:00:00Z,3747.517
2018-02-06T23:30:00Z,3747.612
2018-02-07T00:00:00Z,3747.692
2018-02-07T00:30:00Z,3747.753
2018-02-07T01:00:00Z,3747.791
2018-02-07T01:30:00Z,3747.804
2018-02-07T02:00:00Z,3747.794
2018-02-07T02:30:00Z,3747.761
2018-02-07T03:00:00Z,3747.704
2018-02-07T03:30:00Z,3747.63
2018-02-07T04:00:00Z,3747.541
2018-02-07T04:30:00Z,3747.446
2018-02-07T05:00:00Z,3747.354
2018-02-07T05:30:00Z,3747.264
2018-02-07T06:00:00Z,3747.189
2018-02-07T06:30:00Z,3747.128
2018-02-07T07:00:00Z,3747.088
2018-02-07T07:30:00Z,3747.067
2018-02-07T08:00:00Z,3747.071
2018-02-07T08:30:00Z,3747.094
2018-02-07T09:00:00Z,3747.135
2018-02-07T09:30:00Z,3747.196
2018-02-07T10:00:00Z,3747.269
2018-02-07T10:30:00Z,3747.353
2018-02-07T11:00:00Z,3747.437
2018-02-07T11:30:00Z,3747.52
2018-02-07T12:00:00Z,3747.593
2018-02-07T12:30:00Z,3747.653
2018-02-07T13:00:00Z,3747.691
2018-02-07T13:30:00Z,3747.711
2018-02-07T14:00:00Z,3747.705
2018-02-07T14:30:00Z,3747.679
2018-02-07T15:00:00Z,3747.634
2018-02-07T15:30:00Z,3747.568
2018-02-07T16:00:00Z,3747.481
2018-02-07T16:30:00Z,3747.385
2018-02-07T17:00:00Z,3747.292
2018-02-07T17:30:00Z,3747.193
2018-02-07T18:00:00Z,3747.106
2018-02-07T18:15:00Z,3747.067
2018-02-07T18:30:00Z,3747.034
2018-02-07T18:45:00Z,3747.005
2018-02-07T19:00:00Z,3746.979
2018-02-07T19:15:00Z,3746.961
2018-02-07T19:30:00Z,3746.949
2018-02-07T19:45:00Z,3746.943
2018-02-07T20:00:00Z,3746.944
2018-02-07T20:15:00Z,3746.951
2018-02-07T20:30:00Z,3746.962
2018-02-07T20:45:00Z,3746.982
2018-02-07T21:00:00Z,3747.004
2018-02-07T21:15:00Z,3747.03
2018-02-07T21:30:00Z,3747.068
2018-02-07T21:45:00Z,3747.105
2018-02-07T22:00:00Z,3747.148
2018-02-07T22:15:00Z,3747.192
2018-02-07T22:30:00Z,3747.239
2018-02-07T22:45:00Z,3747.288
2018-02-07T23:00:00Z,3747.34
2018-02-07T23:15:00Z,3747.389
2018-02-07T23:30:00Z,3747.44
2018-02-07T23:45:00Z,3747.49
2018-02-08T00:00:00Z,3747.537
2018-02-08T00:15:00Z,3747.579
2018-02-08T00:30:00Z,3747.621
2018-02-08T00:45:00Z,3747.659
2018-02-08T01:00:00Z,3747.695
